id,rowId,qty,unit
345,188,100,0.55
346,188,250,0.5
347,188,500,0.4
348,188,750,0.35
349,188,1000,0.3
350,188,2000,0.2
351,188,5000,0.1
352,189,100,0.3
353,189,250,0.25
354,189,500,0.2
355,189,750,0.17
356,189,1000,0.15
357,189,2000,0.1
358,189,5000,0.08
359,190,100,0.22
360,190,250,0.17
361,190,500,0.15
362,190,750,0.13
363,190,1000,0.1
364,190,2000,0.09
365,190,5000,0.05
366,191,100,0.3
367,191,250,0.2
368,191,500,0.17
369,191,750,0.15
370,191,1000,0.13
371,191,2000,0.1
372,191,5000,0.07
373,192,100,0.2
374,192,250,0.1
375,192,500,0.09
376,192,750,0.08
377,192,1000,0.07
378,192,2000,0.06
379,192,5000,0.05
380,193,100,0.3
381,193,250,0.2
382,193,500,0.17
383,193,750,0.15
384,193,1000,0.13
385,193,2000,0.1
386,193,5000,0.07
387,194,100,0.25
388,194,250,0.15
389,194,500,0.14
390,194,750,0.13
391,194,1000,0.1
392,194,2000,0.09
393,194,5000,0.06
394,195,100,0.2
395,195,250,0.17
396,195,500,0.15
397,195,750,0.12
398,195,1000,0.1
399,195,2000,0.08
400,195,5000,0.07
401,196,100,0.5
402,196,250,0.45
403,196,500,0.35
404,196,750,0.32
405,196,1000,0.3
406,196,2000,0.2
407,196,5000,0.12
408,197,100,0.1
409,197,250,0.08
410,197,500,0.08
411,197,750,0.06
412,197,1000,0.06
413,197,2000,0.05
414,197,5000,0.03
415,198,100,0.15
416,198,250,0.1
417,198,500,0.09
418,198,750,0.08
419,198,1000,0.07
420,198,2000,0.05
421,198,5000,0.03
422,199,100,0.2
423,199,250,0.15
424,199,500,0.13
425,199,750,0.12
426,199,1000,0.09
427,199,2000,0.07
428,199,5000,0.04
429,200,100,0.3
430,200,250,0.25
431,200,500,0.22
432,200,750,0.18
433,200,1000,0.15
434,200,2000,0.1
435,200,5000,0.06
436,201,100,0.2
437,201,250,0.17
438,201,500,0.15
439,201,750,0.13
440,201,1000,0.1
441,201,2000,0.09
442,201,5000,0.05
443,202,100,0.3
444,202,250,0.2
445,202,500,0.17
446,202,750,0.15
447,202,1000,0.13
448,202,2000,0.1
449,202,5000,0.07
450,203,500,0.08
451,203,750,0.07
452,203,1000,0.06
453,203,2000,0.05
454,203,5000,0.04
455,203,10000,0.03
456,204,500,0.14
457,204,750,0.12
458,204,1000,0.1
459,204,2000,0.09
460,204,5000,0.06
461,204,10000,0.05
462,207,100,0.6
463,208,100,0.6
464,207,200,0.5
465,208,200,0.5
466,207,300,0.45
467,208,300,0.45
468,207,400,0.4
469,208,400,0.4
470,207,500,0.35
471,208,500,0.35
472,207,1000,0.3
473,208,1000,0.3
474,207,2000,0.25
475,208,2000,0.25
476,207,3000,0.2
477,208,3000,0.2
478,207,4000,0.17
479,208,4000,0.17
480,207,5000,0.15
481,208,5000,0.15
482,207,10000,0.09
483,208,10000,0.09
484,209,100,0.8
485,210,100,0.8
486,209,200,0.75
487,210,200,0.75
488,209,300,0.7
489,210,300,0.7
490,209,400,0.6
491,210,400,0.6
492,209,500,0.55
493,210,500,0.55
494,209,1000,0.5
495,210,1000,0.5
496,209,2000,0.35
497,210,2000,0.35
498,209,3000,0.27
499,210,3000,0.27
500,209,4000,0.2
501,210,4000,0.2
502,209,5000,0.17
503,210,5000,0.17
504,209,10000,0.12
505,210,10000,0.12
506,211,100,0.3
507,212,100,0.3
508,211,200,0.25
509,212,200,0.25
510,211,300,0.22
511,212,300,0.22
512,211,400,0.2
513,212,400,0.2
514,211,500,0.18
515,212,500,0.18
516,211,1000,0.17
517,212,1000,0.17
518,211,2000,0.15
519,212,2000,0.15
520,211,3000,0.13
521,212,3000,0.13
522,211,4000,0.12
523,212,4000,0.12
524,211,5000,0.1
525,212,5000,0.1
526,211,10000,0.08
527,212,10000,0.08
528,213,100,0.5
529,214,100,0.5
530,213,200,0.4
531,214,200,0.4
532,213,300,0.37
533,214,300,0.37
534,213,400,0.35
535,214,400,0.35
536,213,500,0.3
537,214,500,0.3
538,213,1000,0.25
539,214,1000,0.25
540,213,2000,0.23
541,214,2000,0.23
542,213,3000,0.17
543,214,3000,0.17
544,213,4000,0.15
545,214,4000,0.15
546,213,5000,0.14
547,214,5000,0.14
548,213,10000,0.11
549,214,10000,0.11
550,215,100,0.2
551,216,100,0.2
552,215,200,0.18
553,216,200,0.18
554,215,300,0.17
555,216,300,0.17
556,215,400,0.15
557,216,400,0.15
558,215,500,0.14
559,216,500,0.14
560,215,1000,0.12
561,216,1000,0.12
562,215,2000,0.1
563,216,2000,0.1
564,215,3000,0.09
565,216,3000,0.09
566,215,4000,0.08
567,216,4000,0.08
568,215,5000,0.07
569,216,5000,0.07
570,215,10000,0.05
571,216,10000,0.05
572,217,100,0.3
573,218,100,0.3
574,217,200,0.27
575,218,200,0.27
576,217,300,0.26
577,218,300,0.26
578,217,400,0.25
579,218,400,0.25
580,217,500,0.24
581,218,500,0.24
582,217,1000,0.2
583,218,1000,0.2
584,217,2000,0.18
585,218,2000,0.18
586,217,3000,0.15
587,218,3000,0.15
588,217,4000,0.13
589,218,4000,0.13
590,217,5000,0.11
591,218,5000,0.11
592,217,10000,0.07
593,218,10000,0.07
594,219,500,0.11
595,220,500,0.11
596,219,1000,0.09
597,220,1000,0.09
598,219,2000,0.075
599,220,2000,0.075
600,219,3000,0.07
601,220,3000,0.07
602,219,4000,0.06
603,220,4000,0.06
604,219,5000,0.05
605,220,5000,0.05
606,219,10000,0.03
607,220,10000,0.03
608,221,500,0.18
609,222,500,0.18
610,221,1000,0.15
611,222,1000,0.15
612,221,2000,0.13
613,222,2000,0.13
614,221,3000,0.12
615,222,3000,0.12
616,221,4000,0.11
617,222,4000,0.11
618,221,5000,0.09
619,222,5000,0.09
620,221,10000,0.05
621,222,10000,0.05
622,223,100,0.2
623,224,100,0.2
624,223,200,0.19
625,224,200,0.19
626,223,300,0.18
627,224,300,0.18
628,223,400,0.17
629,224,400,0.17
630,223,500,0.16
631,224,500,0.16
632,223,1000,0.12
633,224,1000,0.12
634,223,2000,0.12
635,224,2000,0.12
636,223,3000,0.1
637,224,3000,0.1
638,223,4000,0.09
639,224,4000,0.09
640,223,5000,0.08
641,224,5000,0.08
642,223,10000,0.06
643,224,10000,0.06
644,225,100,0.35
645,226,100,0.35
646,225,200,0.3
647,226,200,0.3
648,225,300,0.25
649,226,300,0.25
650,225,400,0.22
651,226,400,0.22
652,225,500,0.19
653,226,500,0.19
654,225,1000,0.17
655,226,1000,0.17
656,225,2000,0.16
657,226,2000,0.16
658,225,3000,0.15
659,226,3000,0.15
660,225,4000,0.14
661,226,4000,0.14
662,225,5000,0.13
663,226,5000,0.13
664,225,10000,0.08
665,226,10000,0.08
666,227,100,0.1
667,228,100,0.1
668,227,200,0.1
669,228,200,0.1
670,227,300,0.1
671,228,300,0.1
672,227,400,0.1
673,228,400,0.1
674,227,500,0.1
675,228,500,0.1
676,227,1000,0.08
677,228,1000,0.08
678,227,2000,0.07
679,228,2000,0.07
680,227,3000,0.06
681,228,3000,0.06
682,227,4000,0.05
683,228,4000,0.05
684,227,5000,0.045
685,228,5000,0.045
686,227,10000,0.035
687,228,10000,0.035
688,229,100,0.15
689,230,100,0.15
690,229,200,0.15
691,230,200,0.15
692,229,300,0.15
693,230,300,0.15
694,229,400,0.15
695,230,400,0.15
696,229,500,0.15
697,230,500,0.15
698,229,1000,0.12
699,230,1000,0.12
700,229,2000,0.11
701,230,2000,0.11
702,229,3000,0.1
703,230,3000,0.1
704,229,4000,0.09
705,230,4000,0.09
706,229,5000,0.08
707,230,5000,0.08
708,229,10000,0.06
709,230,10000,0.06
710,231,100,0.09
711,232,100,0.09
712,231,200,0.09
713,232,200,0.09
714,231,300,0.09
715,232,300,0.09
716,231,400,0.09
717,232,400,0.09
718,231,500,0.09
719,232,500,0.09
720,231,1000,0.075
721,232,1000,0.075
722,231,2000,0.06
723,232,2000,0.06
724,231,3000,0.06
725,232,3000,0.06
726,231,4000,0.05
727,232,4000,0.05
728,231,5000,0.035
729,232,5000,0.035
730,231,10000,0.03
731,232,10000,0.03
732,233,100,0.12
733,234,100,0.12
734,233,200,0.12
735,234,200,0.12
736,233,300,0.12
737,234,300,0.12
738,233,400,0.12
739,234,400,0.12
740,233,500,0.12
741,234,500,0.12
742,233,1000,0.11
743,234,1000,0.11
744,233,2000,0.1
745,234,2000,0.1
746,233,3000,0.1
747,234,3000,0.1
748,233,4000,0.09
749,234,4000,0.09
750,233,5000,0.07
751,234,5000,0.07
752,233,10000,0.055
753,234,10000,0.055
754,235,500,0.06
755,236,500,0.06
756,235,1000,0.05
757,236,1000,0.05
758,235,2000,0.065
759,236,2000,0.065
760,235,3000,0.05
761,236,3000,0.05
762,235,4000,0.04
763,236,4000,0.04
764,235,5000,0.025
765,236,5000,0.025
766,235,10000,0.02
767,236,10000,0.02
768,237,500,0.15
769,238,500,0.15
770,237,1000,0.13
771,238,1000,0.13
772,237,2000,0.08
773,238,2000,0.08
774,237,3000,0.06
775,238,3000,0.06
776,237,4000,0.05
777,238,4000,0.05
778,237,5000,0.045
779,238,5000,0.045
780,237,10000,0.035
781,238,10000,0.035
782,239,1,35
783,239,10,30
784,239,25,25
785,239,50,17
786,240,1,25
787,240,10,20
788,240,25,15
789,240,50,12
790,241,1,20
791,241,10,15
792,241,25,12
793,241,50,10
794,242,1,2
795,242,10,1.7
796,242,25,1.5
797,242,50,1.2
798,243,1,42
799,243,10,360
800,243,25,750
801,243,50,1020
802,244,1,30
803,244,10,240
804,244,25,450
805,244,50,720
806,245,1,24
807,245,10,180
808,245,25,360
809,245,50,600
810,246,1,2.4
811,246,10,20.4
812,246,25,45
813,246,50,72
814,247,1,30
815,247,10,264
816,247,25,600
817,247,50,720
818,248,1,20.4
819,248,10,480
820,248,25,300
821,248,50,480
822,249,1,18
823,249,10,420
824,249,25,270
825,249,50,420
826,250,1,1.92
827,250,10,15
828,250,25,30
829,250,50,48
830,251,1,1.5
831,251,10,1.5
832,251,25,1.5
833,251,50,1.5
834,252,1,1.695
835,252,10,1.695
836,252,25,1.695
837,252,50,1.695
838,253,1,1.995
839,253,10,1.995
840,253,25,1.995
841,253,50,1.995
842,254,1,3.495
843,254,10,3.495
844,254,25,3.495
845,254,50,3.495
846,255,1,1.7
847,255,10,1.7
848,255,25,1.7
849,255,50,1.7
850,256,1,1.921
851,256,10,1.921
852,256,25,1.921
853,256,50,1.921
854,257,1,2.261
855,257,10,2.261
856,257,25,2.261
857,257,50,2.261
858,258,1,3.961
859,258,10,3.961
860,258,25,3.961
861,258,50,3.961
862,259,1,1.9
863,259,10,1.9
864,259,25,1.9
865,259,50,1.9
866,260,1,2.147
867,260,10,2.147
868,260,25,2.147
869,260,50,2.147
870,261,1,2.527
871,261,10,2.527
872,261,25,2.527
873,261,50,2.527
874,262,1,4.427
875,262,10,4.427
876,262,25,4.427
877,262,50,4.427
878,263,1,1
879,263,10,1
880,263,25,1
881,263,50,1
882,264,1,1.13
883,264,10,1.13
884,264,25,1.13
885,264,50,1.13
886,265,1,1.33
887,265,10,1.33
888,265,25,1.33
889,265,50,1.33
890,266,1,2.33
891,266,10,2.33
892,266,25,2.33
893,266,50,2.33
894,267,1,1.2
895,267,10,1.2
896,267,25,1.2
897,267,50,1.2
898,268,1,1.356
899,268,10,1.356
900,268,25,1.356
901,268,50,1.356
902,269,1,1.596
903,269,10,1.596
904,269,25,1.596
905,269,50,1.596
906,270,1,2.796
907,270,10,2.796
908,270,25,2.796
909,270,50,2.796
910,271,1,1.4
911,271,10,1.4
912,271,25,1.4
913,271,50,1.4
914,272,1,1.582
915,272,10,1.582
916,272,25,1.582
917,272,50,1.582
918,273,1,1.862
919,273,10,1.862
920,273,25,1.862
921,273,50,1.862
922,274,1,3.262
923,274,10,3.262
924,274,25,3.262
925,274,50,3.262
926,275,1,0.5
927,275,10,0.5
928,275,25,0.5
929,275,50,0.5
930,276,1,0.565
931,276,10,0.565
932,276,25,0.565
933,276,50,0.565
934,277,1,0.665
935,277,10,0.665
936,277,25,0.665
937,277,50,0.665
938,278,1,1.165
939,278,10,1.165
940,278,25,1.165
941,278,50,1.165
942,279,1,0.7
943,279,10,0.7
944,279,25,0.7
945,279,50,0.7
946,280,1,0.7909999999999999
947,280,10,0.7909999999999999
948,280,25,0.7909999999999999
949,280,50,0.7909999999999999
950,281,1,0.9309999999999999
951,281,10,0.9309999999999999
952,281,25,0.9309999999999999
953,281,50,0.9309999999999999
954,282,1,1.631
955,282,10,1.631
956,282,25,1.631
957,282,50,1.631
958,283,1,1
959,283,10,1
960,283,25,1
961,283,50,1
962,284,1,1.13
963,284,10,1.13
964,284,25,1.13
965,284,50,1.13
966,285,1,1.33
967,285,10,1.33
968,285,25,1.33
969,285,50,1.33
970,286,1,2.33
971,286,10,2.33
972,286,25,2.33
973,286,50,2.33
974,287,1,1.2
975,287,10,1.2
976,287,25,1.2
977,287,50,1.2
978,288,1,1.356
979,288,10,1.356
980,288,25,1.356
981,288,50,1.356
982,289,1,1.596
983,289,10,1.596
984,289,25,1.596
985,289,50,1.596
986,290,1,2.796
987,290,10,2.796
988,290,25,2.796
989,290,50,2.796
990,291,1,2
991,291,10,2
992,291,25,2
993,291,50,2
994,292,1,2.26
995,292,10,2.26
996,292,25,2.26
997,292,50,2.26
998,293,1,2.66
999,293,10,2.66
1000,293,25,2.66
1001,293,50,2.66
1002,294,1,4.66
1003,294,10,4.66
1004,294,25,4.66
1005,294,50,4.66
1006,295,1,2.2
1007,295,10,2.2
1008,295,25,2.2
1009,295,50,2.2
1010,296,1,2.486
1011,296,10,2.486
1012,296,25,2.486
1013,296,50,2.486
1014,297,1,2.926000000000001
1015,297,10,2.926000000000001
1016,297,25,2.926000000000001
1017,297,50,2.926000000000001
1018,298,1,5.126
1019,298,10,5.126
1020,298,25,5.126
1021,298,50,5.126
1022,299,1,0.25
1023,299,10,0.25
1024,299,25,0.25
1025,299,50,0.25
1026,300,1,0.2825
1027,300,10,0.2825
1028,300,25,0.2825
1029,300,50,0.2825
1030,301,1,0.3325
1031,301,10,0.3325
1032,301,25,0.3325
1033,301,50,0.3325
1034,302,1,0.5825
1035,302,10,0.5825
1036,302,25,0.5825
1037,302,50,0.5825
1038,303,1,0.35
1039,303,10,0.35
1040,303,25,0.35
1041,303,50,0.35
1042,304,1,0.3955
1043,304,10,0.3955
1044,304,25,0.3955
1045,304,50,0.3955
1046,305,1,0.4655
1047,305,10,0.4655
1048,305,25,0.4655
1049,305,50,0.4655
1050,306,1,0.8155
1051,306,10,0.8155
1052,306,25,0.8155
1053,306,50,0.8155
1054,307,1,0.5
1055,307,10,0.5
1056,307,25,0.5
1057,307,50,0.5
1058,308,1,0.565
1059,308,10,0.565
1060,308,25,0.565
1061,308,50,0.565
1062,309,1,0.665
1063,309,10,0.665
1064,309,25,0.665
1065,309,50,0.665
1066,310,1,1.165
1067,310,10,1.165
1068,310,25,1.165
1069,310,50,1.165
1070,311,1,0.6
1071,311,10,0.6
1072,311,25,0.6
1073,311,50,0.6
1074,312,1,0.6779999999999999
1075,312,10,0.6779999999999999
1076,312,25,0.6779999999999999
1077,312,50,0.6779999999999999
1078,313,1,0.798
1079,313,10,0.798
1080,313,25,0.798
1081,313,50,0.798
1082,314,1,1.398
1083,314,10,1.398
1084,314,25,1.398
1085,314,50,1.398
1086,315,1,1
1087,315,10,1
1088,315,25,1
1089,315,50,1
1090,316,1,1.13
1091,316,10,1.13
1092,316,25,1.13
1093,316,50,1.13
1094,317,1,1.33
1095,317,10,1.33
1096,317,25,1.33
1097,317,50,1.33
1098,318,1,2.33
1099,318,10,2.33
1100,318,25,2.33
1101,318,50,2.33
1102,319,1,1.1
1103,319,10,1.1
1104,319,25,1.1
1105,319,50,1.1
1106,320,1,1.243
1107,320,10,1.243
1108,320,25,1.243
1109,320,50,1.243
1110,321,1,1.463
1111,321,10,1.463
1112,321,25,1.463
1113,321,50,1.463
1114,322,1,2.563
1115,322,10,2.563
1116,322,25,2.563
1117,322,50,2.563
1118,323,300,195
1119,323,500,275
1120,323,1000,400
1121,323,5000,1000
1122,324,300,225
1123,324,500,325
1124,324,1000,500
1125,324,5000,1250
1126,325,300,240
1127,325,500,375
1128,325,1000,700
1129,325,5000,1350
1130,326,300,120
1131,326,500,175
1132,326,1000,250
1133,326,5000,750
1134,327,300,135
1135,327,500,225
1136,327,1000,350
1137,327,5000,850
1138,328,100,1.6
1139,329,100,2.04
1140,330,100,2.56
1141,331,100,3
1142,332,100,3.36
1143,333,100,3.92
1144,334,100,4.32
1145,335,100,4.68
1146,336,100,5.2
1147,337,100,5.720000000000001
1148,338,100,6.24
1149,339,100,6.76
1150,340,100,7.28
1151,341,100,7.199999999999999
1152,342,100,8.32
1153,343,100,8.84
1154,344,100,0.8
1155,345,100,1.08
1156,346,100,1.44
1157,347,100,1.6
1158,348,100,1.92
1159,349,100,2.24
1160,350,100,2.56
1161,351,100,2.88
1162,352,100,3.2
1163,353,100,3.52
1164,354,100,3.84
1165,355,100,4.16
1166,356,100,4.48
1167,357,100,4.8
1168,358,100,5.12
1169,359,100,5.44
1170,360,100,0.48
1171,361,100,0.72
1172,362,100,0.96
1173,363,100,1.2
1174,364,100,1.44
1175,365,100,1.68
1176,366,100,1.92
1177,367,100,2.16
1178,368,100,2.4
1179,369,100,2.64
1180,370,100,2.4
1181,371,100,2.08
1182,372,100,3.36
1183,373,100,3.6
1184,374,10,2
1185,375,10,3
1186,376,10,4
1187,377,10,5
1188,378,10,6
1189,379,10,7
1190,380,10,8
1191,381,10,9
1192,382,10,10
1193,383,10,10.56
1194,384,10,11.52
1195,385,10,12.48
1196,386,10,13.44
1197,387,10,14.4
1198,388,10,15.36
1199,389,10,16.32
1200,390,10,1.36
1201,391,10,2.04
1202,392,10,2.72
1203,393,10,3.4
1204,394,10,4.08
1205,395,10,4.760000000000001
1206,396,10,5.44
1207,397,10,6.12
1208,398,10,6.800000000000001
1209,399,10,6.720000000000001
1210,400,10,8.84
1211,401,10,9.520000000000001
1212,402,10,10.88
1213,403,10,10.2
1214,404,10,11.56
1215,405,10,0.96
1216,406,10,1.44
1217,407,10,1.92
1218,408,10,2.4
1219,409,10,2.88
1220,410,10,3.36
1221,411,10,3.84
1222,412,10,3.96
1223,413,10,4.8
1224,414,10,5.279999999999999
1225,415,10,4.800000000000001
1226,416,10,6.24
1227,417,10,6.72
1228,418,10,5.399999999999999
1229,403,10,7.199999999999999
1230,404,10,8.16
1231,419,50,0.95
1232,419,100,0.8
1233,419,250,0.75
1234,419,500,0.65
1235,419,1000,0.5
1236,419,5000,0.2
1237,419,10000,0.15
1238,420,1,1.25
1239,420,50,0.6
1240,420,100,0.5
1241,420,250,0.4
1242,420,500,0.3
1243,420,1000,0.25
1244,420,5000,0.15
1245,420,10000,0.11
1246,421,1,0.4
1247,421,50,0.35
1248,421,100,0.3
1249,421,250,0.25
1250,421,500,0.2
1251,421,1000,0.14
1252,421,5000,0.12
1253,421,10000,0.1
1254,422,1,0.2
1255,422,100,0.13
1256,422,250,0.1
1257,422,500,0.09
1258,422,1000,0.08
1259,422,5000,0.07
1260,422,10000,0.06
1261,423,1,35
1262,424,1,25
1263,425,1,20
1264,426,1,10
1265,427,1,6
1266,428,1,3.5
1267,429,1,7
1268,430,1,4
1269,431,1,3
1270,432,20,0.5
1271,433,20,0.7
1272,434,100,0.6
1273,435,100,0.8
1274,436,50,1.5
1275,437,50,2
1276,438,50,2.2
1277,439,50,2.4
1278,440,50,2.5
1279,441,50,2.6
1280,442,100,0.3
1281,443,200,0.3
1282,444,200,0.5
1283,445,200,0.2
1284,446,1,12
1285,447,1,8
1286,448,100,0.4
1287,449,20,0.7
1288,450,20,0.9
1289,451,20,1.1
1290,452,20,1.2
1291,453,20,1
1292,454,20,0.95
1293,455,20,1.2
1377,460,1,3
1378,461,1,5
1379,462,1,15
1380,463,1,20
1381,464,1,5
1382,465,1,3.5
1383,466,1,0.05
1384,467,1000,0.012
1385,468,1000,0.006
1386,469,1,2
1387,470,1,0.05
